avggift,lastgife,pgift,ampergift,response
20,20,0.08,20,0
18.57,30,0.12,30,1
8.75,12,0.24,10.25,0
8.88,12,0.24,10.8,0
15,20,0.09,15,0
37.5,50,0.11,41.67,0
10.69,20,0.23,20,0
15,20,0.1,20,0
10.8,15,0.11,15,0
12,14,0.12,12.67,0
8.25,10,0.16,8.25,0
10,20,0.12,15,0
20,20,0.08,20,0
6.1,7,0.35,6.25,0
9.62,15,0.19,15,0
6.93,25,0.21,15,1
3.89,5,0.29,4,0
8.78,10,0.35,9.43,0
9.5,15,0.1,13,1
5,6,0.37,6.89,0
20,20,0.07,20,0
10.9,15,0.16,13.33,1
16.14,25,0.13,22,0
20,20,0.06,20,0
20,20,0.07,20,0
13,15,0.16,16,0
15,20,0.17,18.5,1
15,19,0.1,19,0
25,25,0.07,25,0
10.27,15,0.24,15,0
10.23,10,0.31,10,0
8,9,0.18,7.75,0
5.17,5,0.25,5,0
10.67,12,0.23,11.6,0
13,16,0.09,13,0
18,18,0.08,18,0
9.62,15,0.12,15,1
15,15,0.07,15,0
10,20,0.24,20,0
8.31,10,0.24,12,1
6.23,11,0.33,11,0
4.34,5,0.65,4.14,0
10.6,17,0.1,17,0
28.33,35,0.05,35,1
18.33,25,0.09,25,0
12.6,20,0.11,17.5,0
4.93,5,0.23,7.5,0
5.8,10,0.25,8.6,1
3.72,6,0.78,4.8,0
6.58,10,0.34,7.5,0
15.48,10,0.37,19,1
11.64,10,0.15,15.25,0
17.5,25,0.11,0,0
2.67,9,0.56,3.22,1
3.04,5,0.37,4.29,0
11.2,12,0.18,11,0
27.56,50,0.12,50,0
12.5,10,0.13,15,0
12.33,15,0.16,15.33,0
22.5,30,0.09,30,0
14.8,25,0.11,22.5,0
7.5,10,0.46,7.86,0
9.26,15,0.23,15,0
10.2,15,0.12,14,0
15,20,0.12,15,1
9.33,15,0.13,13,1
9,11,0.28,9.62,0
12.17,20,0.12,17.5,0
25,25,0.07,25,0
5.44,7,0.33,5.56,0
13.75,25,0.14,13.75,0
31.25,50,0.14,31.25,0
22.14,25,0.09,25,0
2.07,3,0.7,3,0
13,16,0.09,16,0
4.04,15,0.37,12.5,0
17.5,25,0.17,17.5,0
10,15,0.14,14,0
20,20,0.07,20,0
10.5,20,0.19,20,0
8.75,15,0.09,15,0
4.53,5,0.54,5.12,0
10.36,15,0.25,15,1
10.33,15,0.1,13,0
12.8,17,0.1,16,0
7.82,8,0.45,8.18,1
11.9,6,0.16,14,0
9.03,5,0.24,10.29,0
7.75,10,0.24,9.6,0
5.33,6,0.26,5.6,0
13.48,10,0.3,17.5,0
22,25,0.08,30.5,0
30,35,0.1,35,0
14.5,23,0.15,17.5,0
13.25,20,0.14,13.25,0
18.75,25,0.16,18.75,0
16.75,25,0.27,25,0
15,25,0.15,15,0
13,16,0.09,13,1
7.49,10,0.42,10,0
6.25,7,0.23,6.6,0
5.08,5,0.32,6.5,0
7.2,10,0.19,7.2,1
35,50,0.1,35,1
6.46,11,0.28,8.33,0
15,15,0.08,15,0
10.44,15,0.15,15,0
50,50,0.06,50,0
15,15,0.06,15,1
21.06,29,0.27,25,0
16.33,40,0.15,25,0
6.8,13,0.23,11,0
61.83,10,0.12,0,0
25,25,0.06,25,1
10,15,0.07,15,0
13,16,0.1,15,0
7.22,10,0.25,10,0
12.62,21,0.2,21,0
4.47,7,0.25,5.83,0
13.5,17,0.09,13.5,0
12,25,0.1,20,0
8.5,10,0.29,10,0
14.05,10,0.25,12,0
9,15,0.11,12,0
10,15,0.1,12.5,0
11.29,20,0.13,20,0
18.33,20,0.12,18.33,0
3.93,10,0.37,6.5,0
10,15,0.1,10,0
10.76,10,0.38,11.83,0
20,20,0.07,20,0
6.95,10,0.25,10,0
5,5,0.22,5,1
18.4,40,0.14,37.5,0
10.38,20,0.15,18,0
6,15,0.2,11,0
27.5,30,0.07,27.5,0
9.43,10,0.25,10,1
5.5,5,0.2,7.67,0
15,15,0.06,15,1
20,20,0.06,20,0
100,100,0.08,100,0
11.88,17,0.21,17.33,0
15.71,10,0.21,10,0
13.54,20,0.19,0,0
10,15,0.1,12.5,1
13.8,17,0.09,17,0
7.92,14,0.36,13,0
8.33,10,0.17,8.33,0
12.2,20,0.2,16.5,0
5.1,8,0.48,6.3,0
20,20,0.07,20,0
10,20,0.1,10,1
6.05,15,0.3,9.2,0
89.44,110,0.15,150,1
13.67,20,0.1,17.5,0
34,37,0.23,36.33,1
8,12,0.22,9.83,0
15,15,0.07,15,0
20,30,0.12,20,0
7.5,10,0.17,7.5,1
11,16,0.07,16,0
7.5,10,0.21,9,0
9.5,16,0.15,15,0
15,15,0.08,15,0
25,25,0.07,25,0
9.28,14,0.28,12.25,0
6.08,10,0.25,7.2,0
15.86,24,0.34,24,0
14.07,17,0.28,16,0
9.5,20,0.14,13,0
12.33,15,0.12,12.33,0
10.83,16,0.12,15,0
9.25,15,0.13,15,0
9.88,15,0.19,14,0
6.44,10,0.23,10,0
8.75,15,0.17,12.5,0
20.43,50,0.19,50,1
5.8,5,0.22,6.4,0
36.33,25,0.12,25,0
11,17,0.23,15.67,1
30,30,0.07,30,0
9.68,16,0.24,15.5,0
12.79,25,0.38,21,0
10.75,11,0.29,12.25,0
10.5,6,0.14,15,1
4.7,5,0.29,5,1
30,30,0.06,30,0
9,10,0.17,10,0
7.23,9,0.2,6.67,1
12.86,15,0.2,12.86,0
8.5,15,0.17,15,0
11.6,13,0.21,13.6,0
9.88,15,0.12,14,0
11.93,16,0.31,16,0
8.67,10,0.14,8.67,0
17.5,15,0.06,20,0
12.75,20,0.13,16.67,0
11,15,0.17,12.33,0
8,15,0.14,13.5,0
9.5,20,0.12,9.5,0
5.47,5,0.25,6.33,1
10.89,10,0.18,13.6,0
12,14,0.12,12.67,0
10,15,0.17,10,0
19.5,30,0.15,30,0
12.41,17,0.53,15.92,0
16.67,20,0.09,20,0
8.67,15,0.14,10,0
10.2,15,0.12,15,0
6.29,6,0.16,6.5,0
7.8,10,0.19,9,0
20,20,0.07,20,0
9.58,10,0.33,10,0
7.27,6,0.23,10.33,0
12.5,20,0.1,12.5,1
26,31,0.16,27.2,0
25,25,0.07,25,0
20,20,0.08,20,1
8.42,5,0.24,9.17,0
12,20,0.1,20,0
8.33,5,0.11,15,0
13.42,14,0.21,14.5,1
14.06,25,0.16,15,0
21,24,0.08,21,0
5.16,0,0.46,5,0
13.33,20,0.08,15,0
47.5,100,0.12,50,0
23,30,0.08,26.67,0
14,12,0.08,16,0
15,10,0.11,20,1
9,15,0.13,15,0
8.4,13,0.21,15,0
7.6,10,0.18,9.75,1
20,38,0.09,38,0
12.5,20,0.12,20,0
17.5,20,0.08,20,0
9.65,15,0.19,15,0
20.72,25,0.24,29,1
5.33,6,0.16,4.75,0
11.93,19,0.29,16.33,0
15,10,0.09,17.5,1
11.67,20,0.1,15,0
21.14,35,0.12,25,0
13,25,0.11,18,0
10,15,0.1,10,0
10.38,16,0.15,16,0
11.67,15,0.11,12.5,0
4.62,7,0.28,5.4,0
6.62,12,0.2,10.67,0
15.5,26,0.1,15.5,0
9.4,15,0.12,13.5,0
8.48,15,0.34,12.5,0
6.43,5,0.23,6.43,1
26.25,20,0.13,28.33,0
9.67,16,0.12,16,0
7.33,10,0.14,7.33,0
9,20,0.15,15,0
7.89,9,0.25,8,1
5.21,7,0.26,6,1
9.4,11,0.17,9,0
9.89,20,0.15,15,0
14.33,19,0.14,19.67,0
8.25,15,0.15,13,0
25,25,0.06,25,0
5,10,0.22,5,0
10.67,12,0.15,10.67,0
11,20,0.33,18.33,0
12.83,20,0.13,20,0
20,20,0.07,20,0
4.56,5,0.25,5,0
14.29,15,0.11,15,1
8.33,15,0.18,13.5,0
13,13,0.13,13,0
4.08,8,0.35,6.6,0
4.6,20,0.4,10,0
10.78,11,0.24,11.57,0
55,55,0.06,0,0
8.5,15,0.11,11,0
10,15,0.1,10,0
20,20,0.07,20,0
20,20,0.07,20,0
9.06,15,0.22,13,1
10.5,25,0.11,7,0
26.8,36,0.16,33.25,0
9.36,21,0.17,17,0
8,6,0.23,13.33,1
7.85,10,0.17,12.5,1
9.25,12,0.14,10.67,1
4.78,5,0.62,5,0
7.23,7,0.35,8,0
16.56,15,0.27,17.5,0
15.17,20,0.13,17.5,0
37.5,50,0.07,37.5,0
9.9,10,0.18,8.33,0
25,40,0.08,25,0
8.89,5,0.17,6.75,0
12,15,0.09,12.5,1
9.3,20,0.17,15.67,0
8,10,0.2,8.5,1
4.45,2,0.38,5,1
11.29,10,0.14,15,0
15,15,0.07,15,0
5.92,6,0.34,6,1
15,15,0.08,15,0
14,15,0.09,14,0
20,20,0.08,20,0
15,20,0.09,15,0
7,12,0.75,10.33,0
15,20,0.1,15,0
25,25,0.11,25,1
5.92,5,0.21,4.5,0
15.5,6,0.22,25,0
20,20,0.1,20,1
12,20,0.12,20,0
10,20,0.23,17.5,0
7.6,10,0.15,8.67,1
5.44,5,0.28,5.25,1
12.88,18,0.16,17,0
10.71,15,0.16,12,1
7.25,10,0.18,6.33,0
16.67,20,0.15,20,1
16.02,2.52E+01,0.26,20.04,0
5.73,5,0.31,5.33,0
11.75,15,0.14,15,0
20,20,0.06,20,0
12.11,17,0.13,16,0
13.53,20,0.58,13,0
10.2,16,0.13,12,0
7.4,10,0.23,10,0
7.53,20,0.24,15,0
13.29,20,0.13,20,0
12.11,12,0.2,14,0
4.6,5,0.2,5.33,0
7.14,5,0.19,8.33,0
15,15,0.08,15,0
11.67,10,0.12,11.67,1
25,25,0.06,25,1
7,10,0.21,7.25,0
6.55,10,0.34,8,0
19.88,25,0.21,25,0
19.9,32,0.14,32,0
27.5,50,0.09,27.5,0
8.5,9,0.17,8.5,0
20,20,0.07,20,0
5.65,10,0.24,10,0
12.5,15,0.08,10,0
20,20,0.07,20,0
6.5,10,0.17,6.5,0
8.41,10,0.22,10,0
4.75,6,0.33,5.17,0
13.33,15,0.12,18.33,0
15,25,0.09,25,1
13.67,25,0.12,21.67,0
11.46,17,0.19,17,0
7.67,13,0.35,13,1
4.1,3,0.38,3.86,1
25,25,0.08,25,0
9.26,10,0.35,12.25,1
15,25,0.07,25,0
20,20,0.07,20,0
8.92,10,0.2,10,0
50,50,0.05,50,0
15,15,0.08,15,0
10.75,20,0.1,17.5,0
10,15,0.11,10,0
4.81,7,0.24,5.5,0
13,16,0.08,13,0
14.62,30,0.13,23.33,0
9.11,16,0.37,15.83,0
16.87,90,0.43,14.6,1
6.36,6,0.35,6.43,1
6.56,12,0.33,10.67,0
4.29,10,0.35,6.67,0
19.09,25,0.17,25,0
15,15,0.09,20,0
27.22,25,0.14,28.33,0
7.89,15,0.15,15,0
14,18,0.13,17,0
15,15,0.07,15,0
11.5,10,0.16,11.5,0
5.48,10,0.46,7.83,1
5.56,10,0.33,6.2,0
4.5,3,0.38,4.5,1
16.4,25,0.12,22,1
12.33,15,0.27,11.67,0
7.5,12,0.17,8,0
25,25,0.07,25,1
16.4,20,0.11,20,0
7.33,11,0.23,11,0
19.29,20,0.25,22.5,1
7,9,0.37,9.5,0
5.5,5,0.22,6,0
12.33,15,0.1,15,0
4.82,7,0.45,5.57,1
7.07,10,0.19,7.33,0
14.6,15,0.19,16.75,0
23.75,30,0.12,30,0
9.69,14,0.33,13.67,0
10.67,20,0.1,13.5,0
5.83,10,0.21,6.67,1
11.67,25,0.22,15,0
10.45,12,0.28,11,0
14,20,0.14,16.25,0
10.5,17,0.1,13.25,0
7.94,20,0.25,9.25,0
7.26,10,0.25,8,0
11.75,25,0.12,8.5,0
13.25,5,0.2,11.25,0
11,15,0.12,13.5,1
11.38,15,0.17,14.5,0
13,16,0.1,13,0
18.86,50,0.12,37.5,0
5.59,10,0.25,8.5,0
3.56,12,0.37,10,0
11.67,15,0.11,15,0
8.67,10,0.17,8.4,1
14.5,25,0.11,17.67,0
22.62,50,0.2,41.67,0
18.29,25,0.14,25,0
9.8,20,0.26,20,0
8.25,10,0.23,10,0
9.58,12,0.22,11,0
8.31,15,0.19,15,0
10.75,15,0.13,12.33,0
13.67,18,0.17,16.5,0
11.8,15,0.19,16.67,0
4.38,4,0.28,4.57,0
6.75,10,0.18,8.5,0
15.75,20,0.1,0,0
20,20,0.06,20,0
4,5,0.43,5,0
9.17,10,0.21,9.17,0
10.78,16,0.14,15.5,0
7.6,15,0.12,15,0
6.61,5,0.59,7.27,0
7.65,5,0.66,10.56,0
12.5,20,0.1,12.5,0
7.25,10,0.21,9.6,0
14,17,0.09,16,0
8.22,11,0.26,9.5,0
4.29,6,0.28,5,0
6.67,5,0.14,6.67,0
28.75,35,0.08,35,0
9.8,15,0.2,14.05,1
5.36,15,0.21,15,0
12.53,20,0.31,16.17,1
3.87,6,0.3,4.83,0
19.25,30,0.1,27.5,0
9.8,15,0.15,12.33,0
5.35,15,0.26,9,0
7.24,11,0.27,11,1
11.67,10,0.12,11.67,1
27,35,0.14,42.5,0
15,15,0.08,15,0
7.33,10,0.15,6,0
15,15,0.08,15,0
10,10,0.24,10,1
16.43,22,0.11,23.5,0
15,15,0.08,15,1
5.4,12,0.29,11,0
32.5,35,0.05,35,0
5.47,5,0.29,8.33,0
10.38,16,0.14,16,0
6.75,10,0.27,10,0
5.4,7,0.2,5.25,1
10.5,18,0.14,17,0
5.14,5,0.19,5.5,0
4.77,5,0.3,5,1
8,10,0.16,8,1
12.78,20,0.14,17.5,0
10.67,12,0.14,11,0
4,6,0.2,4.75,1
8.8,15,0.15,15,1
21.25,20,0.08,20,1
10.89,14,0.46,14,0
8.4,10,0.14,10,0
20,20,0.06,20,0
8.5,10,0.26,10.33,0
18.8,50,0.12,32,0
9.17,16,0.19,13,0
3.01,6,0.58,3.8,0
15,15,0.12,15,0
14.17,15,0.12,15,0
14.11,7,0.15,30,1
12.5,15,0.09,12.5,0
14.44,16,0.17,16.4,0
10,15,0.27,13.75,0
4.17,4,0.36,4.22,1
12.19,10,0.18,30,0
5.73,10,0.23,7.25,0
29.28,25,0.22,27.5,0
15,25,0.09,20,0
14.25,25,0.12,25,0
15,15,0.08,15,0
11.92,20,0.16,20,0
15,25,0.08,17.5,0
15,15,0.08,15,0
5.97,10,0.23,9.33,0
17.5,35,0.11,35,0
14.5,20,0.09,18,1
6.6,7,0.23,6.75,0
4.88,5,0.3,5.14,0
3.59,5,0.36,3.5,1
18,19,0.12,14.5,0
7.94,12,0.26,10.8,0
11.42,25,0.18,21,0
12.5,15,0.09,12.5,0
8.4,17,0.16,16,1
12,10,0.13,12.5,1
5,5,0.25,8,1
5.83,10,0.25,8.5,0
6.22,5,0.16,6.8,0
6.27,13,0.22,13,1
21.25,25,0.1,23.33,0
10.8,25,0.13,17.5,0
10.33,15,0.09,15,0
11.62,15,0.31,16.75,0
3.41,4,0.36,5.33,0
21.67,30,0.13,25,0
15,15,0.14,15,0
23.83,100,0.17,100,0
12.08,10,0.22,10,0
20,20,0.07,20,0
9.47,10,0.4,10,0
15.46,21,0.36,20.5,0
10.06,15,0.28,20,1
9.3,15,0.17,14,0
20,20,0.07,20,0
7,10,0.17,6.67,1
13.33,15,0.1,15,0
7.6,10,0.2,8.33,0
13,16,0.09,16,0
8.4,11,0.14,10,0
14,18,0.13,17,0
15.5,20,0.1,20,0
41.67,50,0.11,41.67,0
7.64,12,0.2,9.5,1
13.17,25,0.18,14,1
6.67,5,0.16,6.67,0
12.8,15,0.1,15.5,0
9.33,10,0.15,14,1
55.62,50,0.09,83.33,0
20,20,0.07,20,0
11.62,20,0.12,20,0
11.67,20,0.09,0,0
10.4,12,0.19,11.75,0
9.67,15,0.14,9.67,1
11.25,13,0.13,11.25,0
5.55,10,0.24,5.33,0
15,15,0.08,0,1
10.29,10,0.22,10.67,0
4.75,5,0.41,5,0
9.08,10,0.32,12.5,0
15,15,0.08,15,0
20,20,0.08,20,0
20,15,0.1,20,0
11.75,15,0.08,15,0
3.45,5,0.31,6.25,0
9.69,15,0.32,10.71,0
10.5,15,0.11,15,0
17.21,25,0.22,21.67,0
7.33,7,0.14,7.33,0
12.12,15,0.21,14.5,0
16.5,20,0.09,20,0
37.5,50,0.06,0,0
5.75,5,0.18,7,1
7.25,10,0.18,10,0
9.55,15,0.28,14,0
15,15,0.08,15,0
10.38,15,0.21,11,0
9.36,12,0.2,10.67,0
6.56,9,0.26,7.5,0
8.43,14,0.23,12.67,0
9.2,13,0.27,13.5,0
9.86,15,0.14,14,0
12.43,14,0.28,13.8,0
10,15,0.08,10,0
5,5,0.38,5.09,0
12.17,15,0.13,15,1
21.25,25,0.09,25,1
11,20,0.24,12.17,0
5.88,9,0.23,8.67,0
28.75,35,0.08,35,0
12.17,17,0.12,12.5,1
16.25,23,0.13,18.33,0
10.29,15,0.13,15,0
22.67,75,0.13,75,0
12,20,0.12,20,0
12.83,20,0.14,15.67,0
10,10,0.16,10,1
13.33,18,0.09,15,0
30,40,0.12,30,0
8.94,10,0.24,9.6,1
10.36,10,0.19,15,0
6.36,7,0.21,7.67,1
8.27,11,0.29,9.29,1
19,20,0.12,20,0
11,15,0.11,15,0
33,70,0.16,55,1
6.29,10,0.16,10,0
23.33,25,0.08,25,0
13.43,22,0.13,19,1
15,15,0.1,15,1
11.48,25,0.31,25,0
11.67,20,0.1,11.67,0
14,20,0.11,16,0
10.92,10,0.26,10,1
10.71,20,0.14,16.5,0
26.67,50,0.1,26.67,0
10.22,16,0.15,16.5,1
24.2,30,0.13,26.5,0
16.27,25,0.14,25,0
9.17,10,0.24,13.33,0
6,6,0.19,6,0
15.67,15,0.17,18,1
12.5,20,0.1,12.5,1
9.7,6,0.32,12.33,1
3.85,10,0.48,6.5,0
5.75,5,0.25,6,0
13,15,0.14,12.33,0
10.6,16,0.14,12,0
11,14,0.16,11,0
7.25,7,0.29,7.71,0
15,25,0.1,15,0
20,20,0.07,20,0
10.17,20,0.13,15.5,0
6.6,10,0.31,10,0
13.33,20,0.14,16.67,1
27.6,33,0.13,29.5,0
15.83,20,0.11,17.5,0
13.67,15,0.12,15,0
8.62,11,0.16,11,1
30,30,0.07,30,0
3.63,5,0.39,4,1
7.33,12,0.23,12,0
10.06,12,0.27,13,0
11.12,15,0.21,12.33,0
10.33,16,0.08,16,0
18.9,50,0.14,45,0
15.1,19,0.16,19,1
4.33,4,0.21,4.5,1
20,20,0.08,20,0
6.57,10,0.28,7.5,0
7.31,10,0.22,9.67,0
23.38,25,0.32,29.71,0
15.67,17,0.09,16,0
7.8,20,0.38,10.5,0
8.33,9,0.23,10,0
13.67,20,0.13,16.67,1
6.33,10,0.2,6.4,0
20,20,0.11,20,0
13,16,0.09,13,0
15,15,0.07,15,0
2.67,5,0.37,3,0
3.45,6,0.34,3.29,0
25,25,0.06,25,0
8.1,10,0.17,9.4,0
3.77,10,0.38,6.25,0
11.19,15,0.22,12.5,0
9.8,12,0.15,10.67,1
13.5,18,0.24,18,0
7.88,12,0.16,10.67,0
31.71,50,0.1,50,0
9.82,1.41E+01,0.29,14.69,0
11.67,20,0.12,20,0
10.7,9,0.23,8,0
11.92,20,0.18,12,0
26.91,50,0.44,32.5,0
9.4,17,0.24,16,0
12,16,0.14,12,0
53.33,100,0.16,66.67,0
15,15,0.08,15,0
9.33,12,0.15,13.33,1
6.94,10,0.24,9.33,0
11.75,15,0.09,13.5,0
4.37,5,0.37,5,0
12.62,25,0.18,20,0
10.5,14,0.27,12.86,0
10.6,10,0.28,11.57,1
9.22,10,0.2,11.25,0
7.67,11,0.17,11.33,0
8.75,15,0.12,12.5,0
9,16,0.15,13.33,0
11.67,10,0.13,11.67,0
4.44,6,0.34,7.14,0
7.11,15,0.17,15,0
4.3,7,0.32,7.4,0
5.14,5,0.28,5.4,0
12.5,15,0.09,12.5,0
15,20,0.12,15,0
11.67,20,0.09,15,0
25,25,0.07,25,0
13.33,20,0.13,13.33,0
12.2,15,0.12,15,0
6.47,10,0.32,5.5,0
8,15,0.12,12.5,0
5.56,5,0.31,5.5,0
14.44,20,0.13,20,0
9.75,5,0.15,12.5,0
20.5,35,0.1,0,0
20,20,0.07,20,0
12.5,10,0.2,15,0
9.33,15,0.09,15,0
10.5,12,0.15,10.67,0
6.19,10,0.23,7.5,1
5.11,5,0.31,5.33,0
7.33,15,0.32,13,0
25,25,0.11,25,0
25,25,0.07,25,0
15,20,0.06,20,0
20,20,0.07,20,0
7.12,10,0.25,10,0
9.25,15,0.13,15,0
3.29,5,0.51,3.5,0
14.85,23,0.33,19.5,0
11.4,25,0.15,18.5,1
19,20,0.16,21.67,0
20.5,26,0.16,24.33,0
11.73,17,0.15,16.33,1
20.58,20,0.21,20.4,1
16,25,0.12,22.5,0
20.17,30,0.13,27.5,0
18.13,15,0.2,16.67,0
15,15,0.06,15,0
12.12,22,0.24,22,1
4.43,5,0.23,5,1
12.4,20,0.12,17.5,0
9.9,20,0.35,18,0
14.62,21,0.12,20,0
10.22,15,0.15,10,0
10.5,14,0.29,11.4,0
4.65,5,0.3,6.33,0
13.83,20,0.12,19,0
18.33,25,0.09,25,0
16.67,25,0.09,22.5,0
10.31,10,0.27,13.25,1
6.54,5,0.25,5,0
15.2,25,0.14,15.33,1
20,25,0.09,20,0
15,15,0.06,15,0
20,20,0.06,20,0
15,15,0.08,15,0
15.7,20,0.35,23.75,0
2.45,5,0.42,4.17,0
19.86,24,0.19,21.8,0
11.8,15,0.16,13.5,0
12.5,20,0.12,13.33,0
13.75,15,0.16,15,0
50,50,0.07,50,0
11.43,15,0.12,13.33,0
9.14,15,0.14,15,1
7.67,12,0.19,11,0
8.15,10,0.26,11.75,0
20,20,0.09,20,0
15,15,0.08,15,0
20.06,25,0.17,15,0
20,20,0.07,20,0
13.33,5,0.1,17.5,0
5.5,10,0.16,5.5,1
8.5,14,0.16,9.33,0
14.33,10,0.1,14.33,0
12.5,20,0.08,20,0
5.71,10,0.16,6.25,0
20,20,0.08,20,0
20.5,32,0.13,32,0
11.33,20,0.1,11.33,0
13.86,20,0.12,19,0
5.71,10,0.2,8.4,0
4.27,5,0.38,5,1
8.56,11,0.22,11,1
10,20,0.12,11.67,0
13,6,0.11,20,0
12.17,10,0.24,10,0
7,10,0.2,7,0
6,5,0.32,3.86,0
9,10,0.12,10,0
12,20,0.09,20,0
5.25,5,0.42,6.7,0
13.83,10,0.17,10,0
7.8,9,0.19,7.8,1
18,20,0.11,20,0
4.83,6,0.21,4.83,0
6.06,8,0.32,7.75,1
12.4,20,0.11,0,1
20,20,0.07,20,0
24,27,0.1,24,0
10.55,20,0.18,14.67,0
13.67,15,0.1,20,1
13.14,16,0.12,16,1
7,5,0.16,7,0
5.17,10,0.17,6.33,0
17.5,25,0.11,17.5,0
4.29,5,0.28,4.4,0
20,20,0.14,20,0
20,20,0.08,20,0
4.12,7,0.24,5.5,0
9,17,0.15,13,0
3.18,5,0.75,4.75,0
21.2,27,0.16,25.67,0
7.25,10,0.15,15,0
8.06,14,0.24,14,1
15,15,0.08,0,0
8.2,11,0.14,9.67,0
16.75,17,0.16,16.75,0
20.42,25,0.17,35,0
12.5,20,0.08,20,0
14,20,0.09,20,0
7.83,11,0.3,11,0
11.64,20,0.15,20,0
10,15,0.12,15,0
19.29,25,0.11,25,1
7.86,15,0.16,11,0
9.25,20,0.14,17,0
10.14,13,0.15,14.33,0
5.95,5,0.31,5.83,1
8.07,11,0.26,8.2,1
32.5,40,0.07,32.5,0
15,15,0.08,15,0
7.62,8,0.63,9,0
7.31,13,0.2,13.5,0
12.33,15,0.1,15,1
11.2,10,0.22,11.67,0
21.72,6,0.28,24,1
5.62,8,0.23,7.2,0
19.75,38,0.18,39,0
4.27,4,0.32,4.33,0
11.88,17,0.14,16,0
12.5,20,0.1,12.5,0
20.22,45,0.15,45,0
8.36,12,0.46,11,1
10,15,0.12,10,0
9.1,10,0.16,10,0
17.5,25,0.11,22.5,0
9.17,15,0.12,15,0
8.78,10,0.28,10,1
8,10,0.22,9.6,1
9.62,10,0.21,12.8,1
8.38,6,0.35,9.8,1
6.55,10,0.34,8,1
20.57,20,0.13,17.5,0
8.61,10,0.22,10,0
8.33,15,0.13,15,0
11,15,0.1,15,0
16,26,0.11,23.5,0
52,75,0.1,87.5,1
7.12,10,0.19,8.5,0
5,6,0.38,6.17,0
17.2,25,0.09,25,0
12.08,10,0.17,10,0
13,16,0.1,13,0
5.82,10,0.24,7.5,0
7.29,20,0.33,20,0
15,15,0.07,0,1
11,20,0.1,20,0
15,20,0.08,17.5,0
23,25,0.1,20,0
17.23,15,0.18,20,0
13.67,20,0.11,17,0
5.33,5,0.37,5.29,0
15.67,17,0.08,17,0
5.55,5,0.24,6,1
8.92,5,0.29,10.62,1
6.32,5,0.34,6.89,0
5.94,10,0.28,6.75,1
20.46,33,0.21,23.33,1
20,20,0.07,20,0
15,20,0.09,15,0
15.33,20,0.09,18,0
11.4,25,0.12,25,0
17.83,25,0.17,19.4,0
16,19,0.09,19,0
18.33,25,0.1,25,0
10.6,15,0.26,15,0
50,50,0.05,50,0
21.25,25,0.12,30,0
7.83,13,0.26,9,0
9.38,11,0.15,11.4,1
10,15,0.13,12.5,0
3.76,7,0.36,7,0
12.12,10,0.13,13.5,0
11.67,18,0.13,17,1
15,20,0.1,15,0
11.38,20,0.13,20,0
10,12,0.33,11.67,1
12.78,19,0.16,17.75,0
25,25,0.07,25,0
25,25,0.07,25,0
10.79,18,0.23,16.67,0
8.43,10,0.34,10,1
27.5,30,0.11,28.33,0
13.33,10,0.12,13.33,0
9.17,15,0.15,11.5,1
9.8,15,0.15,10.5,1
20,20,0.09,20,0
17.5,20,0.11,17.5,0
5.36,6,0.24,6.4,0
12.75,17,0.18,17,0
20,20,0.06,20,0
10,10,0.21,10,0
4.86,5,0.27,5,0
6.67,5,0.19,7.5,0
6.75,6,0.23,6.5,0
10.67,20,0.1,20,0
6.47,10,0.25,10,0
20,20,0.07,20,0
13.83,17,0.14,17.33,0
6.53,10,0.27,8.43,0
9.67,10,0.17,12.5,1
9.44,26,0.32,13.43,1
14.33,15,0.16,16,0
15.67,32,0.11,15.67,1
13,14,0.13,13,0
3.69,5,0.45,5.29,0
19.42,25,0.17,22.5,0
11.83,15,0.18,13,0
11.35,10,0.25,10,0
3.72,5,0.51,3.53,0
25,25,0.07,25,1
15,15,0.07,15,0
22.14,50,0.19,42.5,0
15,15,0.08,15,0
20,20,0.13,20,1
4.62,5,0.24,5.4,1
20,20,0.1,20,0
21.08,25,0.28,24.6,0
15,20,0.07,20,0
11,12,0.2,12,1
11.5,13,0.41,11.55,1
11.36,10,0.17,10,0
17.33,27,0.09,27,0
9.41,10,0.24,10,0
8.53,10,0.24,10,0
16,17,0.1,16,0
6.8,10,0.22,6.8,1
14.43,19,0.12,19.5,0
10.27,10,0.21,12,0
15,20,0.09,20,0
7.71,10,0.17,9.2,0
10,10,0.17,10,1
15.95,18,0.28,19,0
12.36,10,0.17,16,0
5.43,7,0.28,5.33,1
16.17,25,0.11,22.5,0
11.67,10,0.17,12.5,0
12.44,14,0.31,12,0
12.17,20,0.18,14,0
12.88,25,0.16,18.33,0
11.25,15,0.12,12.5,1
11,25,0.11,10,0
12.33,5,0.11,15,0
5.19,10,0.2,10,0
9.61,11,0.45,10.14,0
7.73,10,0.16,9,0
100,100,0.03,100,1
18,21,0.08,18,0
12,11,0.12,12,0
22.5,25,0.06,25,0
12.4,10,0.16,10,0
7.5,5,0.29,8.8,0
20,20,0.08,20,0
10.5,6,0.14,15,0
3.09,3,0.33,2.89,0
11.17,10,0.11,12.5,0
7.48,5,0.43,8.29,0
9.95,30,0.28,27.5,0
14.33,20,0.11,20,0
9.2,10,0.27,10.2,0
18.7,36,0.16,27.33,0
9.11,15,0.14,12.5,0
8.62,15,0.15,15,0
11.75,20,0.11,20,0
8.75,10,0.15,8.75,1
